datestr,A_minus,A_plus,AB_minus,AB_plus,B_minus,B_plus,O_minus,O_plus,total
20130224,0,1,2,3,4,5,6,7,28
20130225,0,1,2,3,4,5,6,7,28
20130226,0,1,2,3,4,5,6,7,28
20130227,0,1,2,3,4,5,6,7,28
20130228,0,1,2,3,4,5,6,7,28
20130301,0,1,2,3,4,5,6,7,28
20130302,0,1,2,3,4,5,6,7,28
20130303,0,1,2,3,4,5,6,7,28
20130304,0,1,2,3,4,5,6,7,28
20130305,0,1,2,3,4,5,6,7,28
20130306,0,1,2,3,4,5,6,7,28
20130307,0,1,2,3,4,5,6,7,28
20130308,0,1,2,3,4,5,6,7,28
20130309,0,1,2,3,4,5,6,7,28
20130310,0,1,2,3,4,5,6,7,28
20130311,0,1,2,3,4,5,6,7,28
20130312,0,1,2,3,4,5,6,7,28
20130313,0,1,2,3,4,5,6,7,28
20130314,0,1,2,3,4,5,6,7,28
20130315,0,1,2,3,4,5,6,7,28
20130316,0,1,2,3,4,5,6,7,28
20130317,0,1,2,3,4,5,6,7,28
20130318,0,1,2,3,4,5,6,7,28
20130319,0,1,2,3,4,5,6,7,28
20130320,0,1,2,3,4,5,6,7,28
20130321,0,1,2,3,4,5,6,7,28
20130322,0,1,2,3,4,5,6,7,28
20130323,0,1,2,3,4,5,6,7,28
20130324,0,1,2,3,4,5,6,7,28
20130325,0,1,2,3,4,5,6,7,28
20130326,0,1,2,3,4,5,6,7,28
20130327,0,1,2,3,4,5,6,7,28
20130328,0,1,2,3,4,5,6,7,28
20130329,0,1,2,3,4,5,6,7,28
20130330,0,1,2,3,4,5,6,7,28
20130331,0,1,2,3,4,5,6,7,28
20130401,0,1,2,3,4,5,6,7,28
20130402,0,1,2,3,4,5,6,7,28
20130403,0,1,2,3,4,5,6,7,28
20130404,0,1,2,3,4,5,6,7,28
20130405,0,1,2,3,4,5,6,7,28
20130406,0,1,2,3,4,5,6,7,28
20130407,0,1,2,3,4,5,6,7,28
20130408,0,1,2,3,4,5,6,7,28
20130409,0,1,2,3,4,5,6,7,28
20130410,0,1,2,3,4,5,6,7,28
20130411,0,1,2,3,4,5,6,7,28
20130412,0,1,2,3,4,5,6,7,28
20130413,0,1,2,3,4,5,6,7,28
20130414,0,1,2,3,4,5,6,7,28
20130415,0,1,2,3,4,5,6,7,28
20130416,0,1,2,3,4,5,6,7,28
20130417,0,1,2,3,4,5,6,7,28
20130418,0,1,2,3,4,5,6,7,28
20130419,0,1,2,3,4,5,6,7,28
20130420,0,1,2,3,4,5,6,7,28
20130421,0,1,2,3,4,5,6,7,28
20130422,0,1,2,3,4,5,6,7,28
20130423,0,1,2,3,4,5,6,7,28
20130424,0,1,2,3,4,5,6,7,28
20130425,0,1,2,3,4,5,6,7,28
20130426,0,1,2,3,4,5,6,7,28
20130427,0,1,2,3,4,5,6,7,28
20130428,0,1,2,3,4,5,6,7,28
20130429,0,1,2,3,4,5,6,7,28
20130430,0,1,2,3,4,5,6,7,28
20130501,0,1,2,3,4,5,6,7,28
20130502,0,1,2,3,4,5,6,7,28
20130503,0,1,2,3,4,5,6,7,28
20130504,0,1,2,3,4,5,6,7,28
20130505,0,1,2,3,4,5,6,7,28
20130506,0,1,2,3,4,5,6,7,28
20130507,0,1,2,3,4,5,6,7,28
20130508,0,1,2,3,4,5,6,7,28
20130509,0,1,2,3,4,5,6,7,28
20130510,0,1,2,3,4,5,6,7,28
20130511,0,1,2,3,4,5,6,7,28
20130512,0,1,2,3,4,5,6,7,28
20130513,0,1,2,3,4,5,6,7,28
20130514,0,1,2,3,4,5,6,7,28
20130515,0,1,2,3,4,5,6,7,28
20130516,0,1,2,3,4,5,6,7,28
20130517,0,1,2,3,4,5,6,7,28
20130518,0,1,2,3,4,5,6,7,28
20130519,0,1,2,3,4,5,6,7,28
20130520,0,1,2,3,4,5,6,7,28
20130521,0,1,2,3,4,5,6,7,28
20130522,0,1,2,3,4,5,6,7,28
20130523,0,1,2,3,4,5,6,7,28
20130524,0,1,2,3,4,5,6,7,28
20130525,0,1,2,3,4,5,6,7,28
20130526,0,1,2,3,4,5,6,7,28
20130527,0,1,2,3,4,5,6,7,28
20130528,0,1,2,3,4,5,6,7,28
20130529,0,1,2,3,4,5,6,7,28
20130531,0,1,2,3,4,5,6,7,28
20130601,0,1,2,3,4,5,6,7,28
20130602,0,1,2,3,4,5,6,7,28
20130603,0,1,2,3,4,5,6,7,28
20130604,0,1,2,3,4,5,6,7,28
20130605,0,1,2,3,4,5,6,7,28
20130606,0,1,2,3,4,5,6,7,28
20130607,0,1,2,3,4,5,6,7,28
20130608,0,1,2,3,4,5,6,7,28
20130609,0,1,2,3,4,5,6,7,28
20130610,0,1,2,3,4,5,6,7,28
20130611,0,1,2,3,4,5,6,7,28
20130612,0,1,2,3,4,5,6,7,28
20130613,0,1,2,3,4,5,6,7,28
20130614,0,1,2,3,4,5,6,7,28
20130615,0,1,2,3,4,5,6,7,28
20130616,0,1,2,3,4,5,6,7,28
20130617,0,1,2,3,4,5,6,7,28
20130618,0,1,2,3,4,5,6,7,28
20130619,0,1,2,3,4,5,6,7,28
20130620,0,1,2,3,4,5,6,7,28
20130621,0,1,2,3,4,5,6,7,28
20130622,0,1,2,3,4,5,6,7,28
20130623,0,1,2,3,4,5,6,7,28
20130624,0,1,2,3,4,5,6,7,28
20130625,0,1,2,3,4,5,6,7,28
20130626,0,1,2,3,4,5,6,7,28
20130627,0,1,2,3,4,5,6,7,28
20130628,0,1,2,3,4,5,6,7,28
20130629,0,1,2,3,4,5,6,7,28
20130630,0,1,2,3,4,5,6,7,28
20130701,0,1,2,3,4,5,6,7,28
20130702,0,1,2,3,4,5,6,7,28
20130703,0,1,2,3,4,5,6,7,28
20130704,0,1,2,3,4,5,6,7,28
20130705,0,1,2,3,4,5,6,7,28
20130706,0,1,2,3,4,5,6,7,28
20130707,0,1,2,3,4,5,6,7,28
20130708,0,1,2,3,4,5,6,7,28
20130709,0,1,2,3,4,5,6,7,28
20130710,0,1,2,3,4,5,6,7,28
20130711,0,1,2,3,4,5,6,7,28
20130712,0,1,2,3,4,5,6,7,28
20130713,0,1,2,3,4,5,6,7,28
20130714,0,1,2,3,4,5,6,7,28
20130715,0,1,2,3,4,5,6,7,28
20130716,0,1,2,3,4,5,6,7,28
20130717,0,1,2,3,4,5,6,7,28
20130718,0,1,2,3,4,5,6,7,28
20130719,0,1,2,3,4,5,6,7,28
20130720,0,1,2,3,4,5,6,7,28
20130721,0,1,2,3,4,5,6,7,28
20130722,0,1,2,3,4,5,6,7,28
20130723,0,1,2,3,4,5,6,7,28
20130724,0,1,2,3,4,5,6,7,28
20130725,0,1,2,3,4,5,6,7,28
20130726,0,1,2,3,4,5,6,7,28
20130727,0,1,2,3,4,5,6,7,28
20130729,0,1,2,3,4,5,6,7,28
20130730,0,1,2,3,4,5,6,7,28
20130731,0,1,2,3,4,5,6,7,28
20130801,0,1,2,3,4,5,6,7,28
20130802,0,1,2,3,4,5,6,7,28
20130803,0,1,2,3,4,5,6,7,28
20130804,0,1,2,3,4,5,6,7,28
20130805,0,1,2,3,4,5,6,7,28
20130806,0,1,2,3,4,5,6,7,28
20130807,0,1,2,3,4,5,6,7,28
20130808,0,1,2,3,4,5,6,7,28
20130809,0,1,2,3,4,5,6,7,28
20130810,0,1,2,3,4,5,6,7,28
20130811,0,1,2,3,4,5,6,7,28
20130812,0,1,2,3,4,5,6,7,28
20130813,0,1,2,3,4,5,6,7,28
20130814,0,1,2,3,4,5,6,7,28
20130815,0,1,2,3,4,5,6,7,28
20130816,0,1,2,3,4,5,6,7,28
20130817,0,1,2,3,4,5,6,7,28
20130818,0,1,2,3,4,5,6,7,28
20130819,0,1,2,3,4,5,6,7,28
20130820,0,1,2,3,4,5,6,7,28
20130821,0,1,2,3,4,5,6,7,28
20130822,0,1,2,3,4,5,6,7,28
20130823,0,1,2,3,4,5,6,7,28
20130824,0,1,2,3,4,5,6,7,28
20130825,0,1,2,3,4,5,6,7,28
20130826,0,1,2,3,4,5,6,7,28
20130827,0,1,2,3,4,5,6,7,28
20130828,0,1,2,3,4,5,6,7,28
20130829,0,1,2,3,4,5,6,7,28
20130830,0,1,2,3,4,5,6,7,28
20130831,0,1,2,3,4,5,6,7,28
20130901,0,1,2,3,4,5,6,7,28
20130902,0,1,2,3,4,5,6,7,28
20130903,0,1,2,3,4,5,6,7,28
20130904,0,1,2,3,4,5,6,7,28
20130905,0,1,2,3,4,5,6,7,28
20130906,0,1,2,3,4,5,6,7,28
20130907,0,1,2,3,4,5,6,7,28
20130908,0,1,2,3,4,5,6,7,28
20130909,0,1,2,3,4,5,6,7,28
20130910,0,1,2,3,4,5,6,7,28
20130911,0,1,2,3,4,5,6,7,28
20130912,0,1,2,3,4,5,6,7,28
20130913,0,1,2,3,4,5,6,7,28
20130914,0,1,2,3,4,5,6,7,28
20130915,0,1,2,3,4,5,6,7,28
20130916,0,1,2,3,4,5,6,7,28
20130917,0,1,2,3,4,5,6,7,28
20130918,0,1,2,3,4,5,6,7,28
20130919,0,1,2,3,4,5,6,7,28
20130920,0,1,2,3,4,5,6,7,28
20130921,0,1,2,3,4,5,6,7,28
20130922,0,1,2,3,4,5,6,7,28
20130923,0,1,2,3,4,5,6,7,28
20130924,0,1,2,3,4,5,6,7,28
20130925,0,1,2,3,4,5,6,7,28
20130926,0,1,2,3,4,5,6,7,28
20130927,0,1,2,3,4,5,6,7,28
20130928,0,1,2,3,4,5,6,7,28
20130929,0,1,2,3,4,5,6,7,28
20130930,0,1,2,3,4,5,6,7,28
20131001,0,1,2,3,4,5,6,7,28
20131002,0,1,2,3,4,5,6,7,28
20131003,0,1,2,3,4,5,6,7,28
20131004,0,1,2,3,4,5,6,7,28
20131005,0,1,2,3,4,5,6,7,28
20131006,0,1,2,3,4,5,6,7,28
20131007,0,1,2,3,4,5,6,7,28
20131008,0,1,2,3,4,5,6,7,28
20131009,0,1,2,3,4,5,6,7,28
20131010,0,1,2,3,4,5,6,7,28
20131011,0,1,2,3,4,5,6,7,28
20131012,0,1,2,3,4,5,6,7,28
20131013,0,1,2,3,4,5,6,7,28
20131014,0,1,2,3,4,5,6,7,28
20131015,0,1,2,3,4,5,6,7,28
20131016,0,1,2,3,4,5,6,7,28
20131017,0,1,2,3,4,5,6,7,28
20131018,0,1,2,3,4,5,6,7,28
20131019,0,1,2,3,4,5,6,7,28
20131020,0,1,2,3,4,5,6,7,28
20131021,0,1,2,3,4,5,6,7,28
20131022,0,1,2,3,4,5,6,7,28
20131023,0,1,2,3,4,5,6,7,28
20131024,0,1,2,3,4,5,6,7,28
20131025,0,1,2,3,4,5,6,7,28
20131026,0,1,2,3,4,5,6,7,28
20131027,0,1,2,3,4,5,6,7,28
20131028,0,1,2,3,4,5,6,7,28
20131029,0,1,2,3,4,5,6,7,28
20131030,0,1,2,3,4,5,6,7,28
20131031,0,1,2,3,4,5,6,7,28
20131101,0,1,2,3,4,5,6,7,28
20131102,0,1,2,3,4,5,6,7,28
20131103,0,1,2,3,4,5,6,7,28
20131104,0,1,2,3,4,5,6,7,28
20131105,0,1,2,3,4,5,6,7,28
20131106,0,1,2,3,4,5,6,7,28
20131107,0,1,2,3,4,5,6,7,28
20131108,0,1,2,3,4,5,6,7,28
20131109,0,1,2,3,4,5,6,7,28
20131110,0,1,2,3,4,5,6,7,28
20131111,0,1,2,3,4,5,6,7,28
20131112,0,1,2,3,4,5,6,7,28
20131113,0,1,2,3,4,5,6,7,28
20131114,0,1,2,3,4,5,6,7,28
20131115,0,1,2,3,4,5,6,7,28
20131116,0,1,2,3,4,5,6,7,28
20131117,0,1,2,3,4,5,6,7,28
20131118,0,1,2,3,4,5,6,7,28
20131119,0,1,2,3,4,5,6,7,28
20131120,0,1,2,3,4,5,6,7,28
20131121,0,1,2,3,4,5,6,7,28
20131122,0,1,2,3,4,5,6,7,28
20131123,0,1,2,3,4,5,6,7,28
20131124,0,1,2,3,4,5,6,7,28
20131125,0,1,2,3,4,5,6,7,28
20131126,0,1,2,3,4,5,6,7,28
20131127,0,1,2,3,4,5,6,7,28
20131128,0,1,2,3,4,5,6,7,28
20131129,0,1,2,3,4,5,6,7,28
20131130,0,1,2,3,4,5,6,7,28
20131201,0,1,2,3,4,5,6,7,28
20131202,0,1,2,3,4,5,6,7,28
20131203,0,1,2,3,4,5,6,7,28
20131204,0,1,2,3,4,5,6,7,28
20131205,0,1,2,3,4,5,6,7,28
20131206,0,1,2,3,4,5,6,7,28
20131207,0,1,2,3,4,5,6,7,28
20131208,0,1,2,3,4,5,6,7,28
20131209,0,1,2,3,4,5,6,7,28
20131210,0,1,2,3,4,5,6,7,28
20131211,0,1,2,3,4,5,6,7,28
20131212,0,1,2,3,4,5,6,7,28
20131213,0,1,2,3,4,5,6,7,28
20131214,0,1,2,3,4,5,6,7,28
20131215,0,1,2,3,4,5,6,7,28
20131216,0,1,2,3,4,5,6,7,28
20131217,0,1,2,3,4,5,6,7,28
20131218,0,1,2,3,4,5,6,7,28
20131219,0,1,2,3,4,5,6,7,28
20131220,0,1,2,3,4,5,6,7,28
20131221,0,1,2,3,4,5,6,7,28
20131222,0,1,2,3,4,5,6,7,28
20131223,0,1,2,3,4,5,6,7,28
20131224,0,1,2,3,4,5,6,7,28
20131225,0,1,2,3,4,5,6,7,28
20131226,0,1,2,3,4,5,6,7,28
20131227,0,1,2,3,4,5,6,7,28
20131228,0,1,2,3,4,5,6,7,28
20131229,0,1,2,3,4,5,6,7,28
20131230,0,1,2,3,4,5,6,7,28
20131231,0,1,2,3,4,5,6,7,28
